canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
CCc1c(N2CCN(C(=O)c3cc4nc(OC)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6193125,=,=,IC50,9196.0,IC50,9.196
CCc1c(N2CCN(C(=O)c3cc4nc(Cl)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189708,=,=,IC50,125.0,IC50,0.125
CCc1c(N2CCN(C(=O)c3cc4ncc(Cl)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189223,=,=,IC50,111.0,IC50,0.111
CCc1c(N2CCN(C(=O)c3cc4cnc(Cl)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188457,=,=,IC50,1738.0,IC50,1.738
CCc1c(N2CCN(C(=O)c3cc4ccc(Cl)nc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6191066,=,=,IC50,1248.0,IC50,1.248
CCc1c(N2CCN(C(=O)c3cc4ncncc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6193669,=,=,IC50,166.0,IC50,0.166
CCc1c(N2CCN(C(=O)c3cc4ncccc4n3C)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6192212,=,=,IC50,362.0,IC50,0.362
CCc1c(N2CCN(C(=O)c3c(F)ccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6191085,=,=,IC50,212.0,IC50,0.212
CCc1c(N2CCN(C(=O)c3ccc(F)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188888,=,=,IC50,647.0,IC50,0.647
CCc1c(N2CCN(C(=O)c3ccc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188836,=,=,IC50,2246.0,IC50,2.246
CCc1c(N2CCN(C(=O)c3cc(Cl)cc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189331,=,=,IC50,651.0,IC50,0.651
CCc1c(N2CCN(C(=O)c3cccc4c(CN5CCOCC5)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6192978,=,=,IC50,499.0,IC50,0.499
CCc1c(N2CCN(C(=O)c3nccc4c(CN5CCOCC5)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6193579,=,=,IC50,432.0,IC50,0.432
CCc1c(N2CCN(C(=O)c3nccc4c(Br)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6190869,=,=,IC50,568.0,IC50,0.568
O=C(Cn1c2c(c(=O)n3nc(C4=CCOCC4)nc13)C1(CCN(C(=O)c3ncccc3O)CC1)OCC2)Nc1ccc(C2CC2)cc1Cl,CHEMBL6192214,=,=,IC50,2.0,IC50,2.0
O=C(Cn1c2c(c(=O)n3nc(C4=CCOCC4)nc13)C1(CCN(C(=O)Cc3ccc(Cl)nn3)CC1)OCC2)Nc1ccc(C2CC2)cc1Cl,CHEMBL6193303,=,=,IC50,1.5,IC50,1.5
CC1CC2(CCN(C(=O)c3cc(N)[nH]n3)CC2)c2c1n(CC(=O)Nc1ccc(C(F)(F)F)cc1Cl)c1nc(C3=CCOCC3)nn1c2=O,CHEMBL6190576,=,=,IC50,1.9,IC50,1.9
CC1CC2(CCN(C(=O)c3ncccc3O)CC2)c2c1n(CC(=O)Nc1ccc(C(F)(F)F)cc1)c1nc(C3=CCOCC3)nn1c2=O,CHEMBL6189893,=,=,IC50,1.9,IC50,1.9
CC(=O)N1CC=C(c2nc3n(CC(=O)Nc4ccc(C(F)(F)F)cc4Cl)c4c(c(=O)n3n2)C2(CCN(C(=O)c3ncccc3O)CC2)CC4C)CC1,CHEMBL6192876,=,=,IC50,2.0,IC50,2.0
CC1CC2(CCN(C(=O)c3ncccc3O)CC2)c2c1n(CC(=O)Nc1ccc(C(F)(F)F)cc1Cl)c1nc(N3CCOCC3)nn1c2=O,CHEMBL6192394,=,=,IC50,1.9,IC50,1.9
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,CHEMBL6189789,=,=,IC50,29.0,IC50,0.029
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@H]1CN(C(=O)Cc2ccc(C)cc2F)CC[C@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,CHEMBL6191188,>,>,IC50,30000.0,IC50,30.0
